"Journal Data Filtered By:  Selected Categories: ARCHAEOLOGY Selected Editions: AHCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"JOURNAL OF ARCHAEOLOGICAL RESEARCH","J ARCHAEOL RES","1059-0161","1573-7756","ARCHAEOLOGY - AHCI","892","3.8","N/A","3.44","31.25"%,
"JOURNAL OF CULTURAL HERITAGE","J CULT HERIT","1296-2074","1778-3674","ARCHAEOLOGY - AHCI","5,595","3.1","N/A","2.13","14.54"%,
"AMERICAN ANTIQUITY","AM ANTIQUITY","0002-7316","2325-5064","ARCHAEOLOGY - AHCI","3,587","2.8","N/A","1.99","38.6"%,
"JOURNAL OF ARCHAEOLOGICAL SCIENCE","J ARCHAEOL SCI","0305-4403","1095-9238","ARCHAEOLOGY - AHCI","15,765","2.8","N/A","1.77","23.08"%,
"JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY","J ARCHAEOL METHOD TH","1072-5369","1573-7764","ARCHAEOLOGY - AHCI","1,741","2.3","N/A","2.06","42.24"%,
"Archaeological and Anthropological Sciences","ARCHAEOL ANTHROP SCI","1866-9557","1866-9565","ARCHAEOLOGY - AHCI","3,226","2.2","N/A","1.34","33.95"%,
"JOURNAL OF WORLD PREHISTORY","J WORLD PREHIST","0892-7537","1573-7802","ARCHAEOLOGY - AHCI","842","2","N/A","2.1","56.25"%,
"JOURNAL OF FIELD ARCHAEOLOGY","J FIELD ARCHAEOL","0093-4690","2042-4582","ARCHAEOLOGY - AHCI","1,385","1.9","N/A","1.69","33.85"%,
"JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY","J ANTHROPOL ARCHAEOL","0278-4165","1090-2686","ARCHAEOLOGY - AHCI","2,651","1.8","N/A","1.44","16.39"%,
"Archaeological Dialogues","ARCHAEOL DIALOG","1380-2038","1478-2294","ARCHAEOLOGY - AHCI","311","1.8","N/A","1.41","39.39"%,
"ANTIQUITY","ANTIQUITY","0003-598X","1745-1744","ARCHAEOLOGY - AHCI","4,326","1.8","N/A","1.29","44.35"%,
"Archaeological Prospection","ARCHAEOL PROSPECT","1075-2196","1099-0763","ARCHAEOLOGY - AHCI","857","1.8","N/A","1.22","30.08"%,
"Journal of Island & Coastal Archaeology","J ISL COAST ARCHAEOL","1556-4894","1556-1828","ARCHAEOLOGY - AHCI","653","1.7","N/A","1.34","12.69"%,
"Lithic Technology","LITHIC TECHNOL","0197-7261","2051-6185","ARCHAEOLOGY - AHCI","480","1.7","N/A","1.13","10.11"%,
"GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL","GEOARCHAEOLOGY","0883-6353","1520-6548","ARCHAEOLOGY - AHCI","1,435","1.7","N/A","0.88","20.23"%,
"Journal of Archaeological Science-Reports","J ARCHAEOL SCI-REP","2352-409X","2352-409X","ARCHAEOLOGY - AHCI","5,124","1.6","N/A","1.37","17.86"%,
"African Archaeological Review","AFR ARCHAEOL REV","0263-0338","1572-9842","ARCHAEOLOGY - AHCI","671","1.6","N/A","1.06","34.15"%,
"ARCHAEOMETRY","ARCHAEOMETRY","0003-813X","1475-4754","ARCHAEOLOGY - AHCI","3,542","1.6","N/A","0.66","25"%,
"Archaeological Research in Asia","ARCHAEOL RES ASIA","2352-2267","2352-2275","ARCHAEOLOGY - AHCI","479","1.5","N/A","1.56","12.03"%,
"European Journal of Archaeology","EUR J ARCHAEOL","1461-9571","1741-2722","ARCHAEOLOGY - AHCI","600","1.5","N/A","1.38","51.85"%,
"Mediterranean Archaeology & Archaeometry","MEDITERR ARCHAEOL AR","1108-9628","2241-8121","ARCHAEOLOGY - AHCI","742","1.5","N/A","1.07","0"%,
"ENVIRONMENTAL ARCHAEOLOGY","ENVIRON ARCHAEOL","1461-4103","1749-6314","ARCHAEOLOGY - AHCI","798","1.5","N/A","0.8","13.56"%,
"Advances in Archaeological Practice","ADV ARCHAEOL PRACT","2326-3768","2326-3768","ARCHAEOLOGY - AHCI","406","1.4","N/A","1.34","44.92"%,
"Journal of African Archaeology","J AFR ARCHAEOL","1612-1651","2191-5784","ARCHAEOLOGY - AHCI","340","1.4","N/A","0.99","25"%,
"WORLD ARCHAEOLOGY","WORLD ARCHAEOL","0043-8243","1470-1375","ARCHAEOLOGY - AHCI","2,443","1.3","N/A","1.51","32"%,
"Anatolian Studies","ANATOL STUD","0066-1546","2048-0849","ARCHAEOLOGY - AHCI","360","1.2","N/A","1.77","31.03"%,
"CAMBRIDGE ARCHAEOLOGICAL JOURNAL","CAMB ARCHAEOL J","0959-7743","1474-0540","ARCHAEOLOGY - AHCI","1,014","1.2","N/A","1.16","39.73"%,
"JOURNAL OF SOCIAL ARCHAEOLOGY","J SOC ARCHAEOL","1469-6053","1741-2951","ARCHAEOLOGY - AHCI","423","1.2","N/A","0.97","10.42"%,
"AMERICAN JOURNAL OF ARCHAEOLOGY","AM J ARCHAEOL","0002-9114","1939-828X","ARCHAEOLOGY - AHCI","1,156","1.2","N/A","0.86","0"%,
"Trabajos de Prehistoria","TRABAJOS PREHIST","0082-5638","1988-3218","ARCHAEOLOGY - AHCI","516","1.1","N/A","1.11","87.27"%,
"Azania-Archaeological Research in Africa","AZANIA","0067-270X","1945-5534","ARCHAEOLOGY - AHCI","495","1.1","N/A","0.82","17.86"%,
"AUSTRALIAN ARCHAEOLOGY","AUST ARCHAEOL","0312-2417","2470-0363","ARCHAEOLOGY - AHCI","331","1.1","N/A","0.8","8.47"%,
"Estonian Journal of Archaeology","EST J ARCHAEOL","1406-2933","1736-7484","ARCHAEOLOGY - AHCI","86","1","N/A","0.8","100"%,
"INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY","INT J OSTEOARCHAEOL","1047-482X","1099-1212","ARCHAEOLOGY - AHCI","2,360","1","N/A","0.78","16.96"%,
"ARCHAEOLOGY","ARCHAEOLOGY","0003-8113","1943-5746","ARCHAEOLOGY - AHCI","603","1","N/A","0.02","0"%,
"JOURNAL OF MATERIAL CULTURE","J MAT CULT","1359-1835","1460-3586","ARCHAEOLOGY - AHCI","717","0.9","N/A","0.79","29.07"%,
"LATIN AMERICAN ANTIQUITY","LAT AM ANTIQ","1045-6635","2325-5080","ARCHAEOLOGY - AHCI","1,044","0.9","N/A","0.77","26.46"%,
"ARCHAEOLOGY IN OCEANIA","ARCHAEOL OCEAN","0728-4896","1834-4453","ARCHAEOLOGY - AHCI","393","0.9","N/A","0.7","13.46"%,
"SOUTH AFRICAN ARCHAEOLOGICAL BULLETIN","S AFR ARCHAEOL BULL","0038-1969","2224-4654","ARCHAEOLOGY - AHCI","877","0.9","N/A","0.58","0"%,
"Rock Art Research","ROCK ART RES","0813-0426","0813-0426","ARCHAEOLOGY - AHCI","218","0.8","N/A","1.47","0"%,
"Levant","LEVANT","0075-8914","1756-3801","ARCHAEOLOGY - AHCI","407","0.8","N/A","1.04","31.03"%,
"Journal of Mediterranean Archaeology","J MEDITERR ARCHAEOL","0952-7648","N/A","ARCHAEOLOGY - AHCI","270","0.8","N/A","0.81","0"%,
"International Journal of Historical Archaeology","INT J HIST ARCHAEOL","1092-7697","1573-7748","ARCHAEOLOGY - AHCI","439","0.8","N/A","0.76","21.69"%,
"Tel Aviv-Journal of the Institute of Archaeology of Tel Aviv University","TEL AVIV","0334-4355","2040-4786","ARCHAEOLOGY - AHCI","391","0.8","N/A","0.75","4.76"%,
"Open Archaeology","OPEN ARCHAEOL","2300-6560","2300-6560","ARCHAEOLOGY - AHCI","253","0.8","N/A","0.74","94.15"%,
"Bulletin of the American Schools of Oriental Research","B AM SCH ORIENTAL RE","0003-097X","2161-8062","ARCHAEOLOGY - AHCI","503","0.8","N/A","0.7","2.38"%,
"HISTORICAL ARCHAEOLOGY","HIST ARCHAEOL","0440-9213","2328-1103","ARCHAEOLOGY - AHCI","661","0.8","N/A","0.65","14.41"%,
"STUDIES IN CONSERVATION","STUD CONSERV","0039-3630","2047-0584","ARCHAEOLOGY - AHCI","1,977","0.8","N/A","0.65","15.9"%,
"HESPERIA","HESPERIA","0018-098X","1553-5622","ARCHAEOLOGY - AHCI","683","0.8","N/A","0.59","0"%,
"ACTA ARCHAEOLOGICA","ACTA ARCHAEOL-DEN","0065-101X","1600-0390","ARCHAEOLOGY - AHCI","195","0.8","N/A","0.32","9.09"%,
"Ancient Mesoamerica","ANCIENT MESOAM","0956-5361","1469-1787","ARCHAEOLOGY - AHCI","636","0.7","N/A","1.28","21.31"%,
"Pamatky Archeologicke","PAMATKY ARCHEOL","0031-0506","N/A","ARCHAEOLOGY - AHCI","145","0.7","N/A","0.75","100"%,
"Asian Perspectives-The Journal of Archaeology for Asia and the Pacific","ASIAN PERSPECT","0066-8435","1535-8283","ARCHAEOLOGY - AHCI","424","0.7","N/A","0.55","0"%,
"Oxford Journal of Archaeology","OXFORD J ARCHAEOL","0262-5253","1468-0092","ARCHAEOLOGY - AHCI","479","0.7","N/A","0.55","31.88"%,
"NEAR EASTERN ARCHAEOLOGY","NEAR EAST ARCHAEOL","1094-2076","2325-5404","ARCHAEOLOGY - AHCI","321","0.7","N/A","0.48","0"%,
"Journal of Roman Archaeology","J ROMAN ARCHAEOL","1047-7594","2331-5709","ARCHAEOLOGY - AHCI","504","0.7","N/A","0.45","29.41"%,
"Medieval Archaeology","MEDIEV ARCHAEOL","0076-6097","1745-817X","ARCHAEOLOGY - AHCI","211","0.6","N/A","2.07","12.5"%,
"Palestine Exploration Quarterly","PALEST EXPLOR Q","0031-0328","1743-1301","ARCHAEOLOGY - AHCI","189","0.6","N/A","1.03","8.45"%,
"JOURNAL OF NEAR EASTERN STUDIES","J NEAR EASTERN STUD","0022-2968","1545-6978","ARCHAEOLOGY - AHCI","400","0.6","N/A","0.93","1.89"%,
"Norwegian Archaeological Review","NOR ARCHAEOL REV","0029-3652","1502-7678","ARCHAEOLOGY - AHCI","229","0.6","N/A","0.76","52.17"%,
"Praehistorische Zeitschrift","PRAEHIST Z","0079-4848","1613-0804","ARCHAEOLOGY - AHCI","200","0.6","N/A","0.73","6.38"%,
"Journal of Maritime Archaeology","J MARIT ARCHAEOL","1557-2285","1557-2293","ARCHAEOLOGY - AHCI","167","0.6","N/A","0.62","25"%,
"Archeologicke Rozhledy","ARCHEOL ROZHL","0323-1267","N/A","ARCHAEOLOGY - AHCI","245","0.6","N/A","0.37","73.47"%,
"Archivo Espanol de Arqueologia","ARCH ESPAN ARQUEOL","0066-6742","1988-3110","ARCHAEOLOGY - AHCI","222","0.6","N/A","0.23","82.69"%,
"Journal of the British Archaeological Association","J BR ARCHAEOL ASSOC","0068-1288","1747-6704","ARCHAEOLOGY - AHCI","79","0.5","N/A","1.25","16.67"%,
"ZEITSCHRIFT DES DEUTSCHEN PALASTINA-VEREINS","Z DEUT PALASTINA-VER","0012-1169","N/A","ARCHAEOLOGY - AHCI","149","0.5","N/A","0.97","0"%,
"ARABIAN ARCHAEOLOGY AND EPIGRAPHY","ARAB ARCHAEOL EPIGR","0905-7196","1600-0471","ARCHAEOLOGY - AHCI","260","0.5","N/A","0.78","21.69"%,
"INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY","INT J NAUT ARCHAEOL","1057-2414","1095-9270","ARCHAEOLOGY - AHCI","488","0.5","N/A","0.63","11.29"%,
"Estudios Atacamenos","ESTUD ATACAMENOS","0718-1043","0718-1043","ARCHAEOLOGY - AHCI","528","0.5","N/A","0.4","95.76"%,
"Arheoloski Vestnik","ARHEOLOSKI VESTN","0570-8966","0570-8966","ARCHAEOLOGY - AHCI","212","0.5","N/A","0.35","96.49"%,
"Britannia","BRITANNIA-CAMBRIDGE","0068-113X","1753-5352","ARCHAEOLOGY - AHCI","275","0.4","N/A","0.8","14.86"%,
"Archaeologies-Journal of the World Archaeological Congress","ARCHAEOLOGIES","1555-8622","1935-3987","ARCHAEOLOGY - AHCI","221","0.4","N/A","0.58","15.87"%,
"Time & Mind-The Journal of Archaeology Consciousness and Culture","TIME MIND","1751-696X","1751-6978","ARCHAEOLOGY - AHCI","109","0.4","N/A","0.5","20.41"%,
"Annual of the British School at Athens","ANNU BRIT SCH ATHENS","0068-2454","2045-2403","ARCHAEOLOGY - AHCI","278","0.4","N/A","0.34","23.68"%,
