"","doi","ps","reporting","p_value"
"1","10.1016/j.jas.2022.105689","p = 21), e","exact",1e-05
"2","10.1016/j.jas.2022.105689","p = 18), s","exact",18
"3","10.1016/j.jas.2022.105689","p = 12), c","exact",12
"4","10.1016/j.jas.2022.105689","p = 7), pi","exact",7
"5","10.1016/j.jas.2022.105689","p = 4), re","exact",1e-05
"6","10.1016/j.jas.2022.105689","p = 31 and","exact",31
"7","10.1016/j.jas.2022.105689","p = 13) an","exact",13
"8","10.1016/j.jas.2022.105689","p = 10) we","exact",1e-05
"9","10.1016/j.jas.2022.105689","p < 0.0001","inequ",5e-05
"10","10.1016/j.jas.2022.105689","p = 0.0001","exact",1e-04
"11","10.1016/j.jas.2022.105689","p < 0.0001","inequ",5e-05
"12","10.1016/j.jas.2022.105689","p = 0.0330","exact",0.033
"13","10.1016/j.jas.2022.105689","p = 0.0001","exact",1e-04
"14","10.1016/j.jas.2023.105840","p = 0.001)","exact",0.001
"15","10.1016/j.jas.2023.105840","p = 0.242)","exact",0.242
"16","10.1016/j.jas.2023.105840","p = 0.019)","exact",0.019
"17","10.1016/j.jas.2023.105840","p = 0.015)","exact",0.015
"18","10.1016/j.jas.2023.105840","p = 0.01 |","exact",0.01
"19","10.1016/j.jas.2023.105840","p = 0.004)","exact",0.004
"20","10.1016/j.jas.2023.105840","p = 0.01 |","exact",0.01
"21","10.1016/j.jas.2023.105840","p = 0.011)","exact",0.011
"22","10.1016/j.jas.2023.105840","p = 0.01| ","exact",0.01
"23","10.1016/j.jas.2023.105840","p = 0.01),","exact",0.01
"24","10.1016/j.jas.2023.105840","p = 0.001 ","exact",0.001
"25","10.1016/j.jas.2023.105840","p = 0.01) ","exact",0.01
"26","10.1016/j.jas.2023.105826","p = kinder","exact",1e-05
"27","10.1016/j.jas.2023.105827","p = 30 mev","exact",1e-05
"28","10.1016/j.jas.2023.105827","p = 25 mev","exact",1e-05
"29","10.1016/j.jas.2023.105827","p = 45 mev","exact",1e-05
"30","10.1016/j.jas.2023.105828","p = proxim","exact",NA
"31","10.1016/j.jas.2023.105828","p < .001).","inequ",0.001
"32","10.1016/j.jas.2023.105828","p = .039).","exact",0.039
"33","10.1016/j.jas.2023.105828","p < .05) w","inequ",0.05
"34","10.1016/j.jas.2023.105828","p = .020),","exact",0.02
"35","10.1016/j.jas.2023.105828","p < .0001)","inequ",1e-04
"36","10.1016/j.jas.2023.105828","p = .560).","exact",0.56
"37","10.1016/j.jas.2023.105828","p = .096) ","exact",0.096
"38","10.1016/j.jas.2023.105828","p = .025).","exact",0.025
"39","10.1016/j.jas.2023.105828","p < .001).","inequ",0.001
"40","10.1016/j.jas.2023.105824","p = < 0.05","inequ",0.025
"41","10.1016/j.jas.2023.105824","p = 0.03) ","exact",0.03
"42","10.1016/j.jas.2023.105824","p = 0.274)","exact",0.274
"43","10.1016/j.jas.2023.105824","p = 0.143)","exact",0.143
"44","10.1016/j.jas.2023.105824","p = < 0.05","inequ",0.025
"45","10.1016/j.jas.2023.105824","p = 0.828)","exact",0.828
"46","10.1016/j.jas.2023.105824","p = 0.327)","exact",0.327
"47","10.1016/j.jas.2023.105824","p = < 0.05","inequ",0.025
"48","10.1016/j.jas.2023.105824","p = < 0.05","inequ",0.025
"49","10.1016/j.jas.2023.105824","p = < 0.05","inequ",0.025
"50","10.1016/j.jas.2023.105824","p = < 0.05","inequ",0.025
"51","10.1016/j.jas.2023.105824","p = < 0.05","inequ",0.025
"52","10.1016/j.jas.2023.105820","p > 0.08 p","inequ",0.08
"53","10.1016/j.jas.2023.105820","p = 0.001,","exact",0.001
"54","10.1016/j.jas.2023.105820","p < 0.001,","inequ",5e-04
"55","10.1016/j.jas.2023.105820","p < 0.001,","inequ",5e-04
"56","10.1016/j.jas.2023.105820","p = 0.3 p ","exact",0.3
"57","10.1016/j.jas.2023.105820","p = 0.8 kn","exact",0.8
"58","10.1016/j.jas.2023.105820","p = 4.10–8","exact",4.1
"59","10.1016/j.jas.2023.105821","p = 0.375)","exact",0.375
"60","10.1016/j.jas.2023.105821","p < 0.000)","inequ",0
"61","10.1016/j.jas.2023.105821","p < 0.01).","inequ",0.005
"62","10.1016/j.jas.2023.105821","p = 0.345)","exact",0.345
"63","10.1016/j.jas.2023.105821","p < 0.001)","inequ",5e-04
"64","10.1016/j.jas.2023.105821","p = 0.73),","exact",0.73
"65","10.1016/j.jas.2023.105821","p = 0.46).","exact",0.46
"66","10.1016/j.jas.2023.105821","p < 0.005)","inequ",0.005
"67","10.1016/j.jas.2023.105821","p < 0.001)","inequ",5e-04
"68","10.1016/j.jas.2023.105821","p < 001), ","inequ",1
"69","10.1016/j.jas.2023.105821","p < 0.01),","inequ",0.005
"70","10.1016/j.jas.2023.105821","p < 0.000)","inequ",0
"71","10.1016/j.jas.2023.105821","p = 0.139)","exact",0.139
"72","10.1016/j.jas.2023.105821","p < 0.000)","inequ",0
"73","10.1016/j.jas.2023.105821","p = 0.0103","exact",0.0103
"74","10.1016/j.jas.2023.105821","p < 0.01).","inequ",0.005
"75","10.1016/j.jas.2023.105821","p < 0.000)","inequ",0
"76","10.1016/j.jas.2023.105821","p = 0.081)","exact",0.081
"77","10.1016/j.jas.2023.105816","p = 0.85),","exact",0.85
"78","10.1016/j.jas.2023.105816","p = 0.046)","exact",0.046
"79","10.1016/j.jas.2023.105816","p < 0.001)","inequ",5e-04
"80","10.1016/j.jas.2023.105815","p = 302 kg","exact",302
"81","10.1016/j.jas.2023.105815","p = 522.5 ","exact",522.5
"82","10.1016/j.jas.2023.105804","p < 0.05) ","inequ",0.025
"83","10.1016/j.jas.2023.105779","p= capra ","exact",NA
"84","10.1016/j.jas.2023.105779","p > 0.007)","inequ",0.007
"85","10.1016/j.jas.2023.105779","p = 0.136)","exact",0.136
"86","10.1016/j.jas.2023.105779","p = 0.002)","exact",0.002
"87","10.1016/j.jas.2023.105771","p = rows o","exact",NA
"88","10.1016/j.jas.2023.105771","p = 0.007)","exact",0.007
"89","10.1016/j.jas.2023.105771","p < 0.001)","inequ",5e-04
"90","10.1016/j.jas.2023.105771","p < 0.001)","inequ",5e-04
"91","10.1016/j.jas.2023.105775","p = polygo","exact",NA
"92","10.1016/j.jas.2023.105775","p < 0.05).","inequ",0.025
"93","10.1016/j.jas.2023.105776","p = abdus ","exact",NA
"94","10.1016/j.jas.2023.105769","p < 0.05, ","inequ",0.025
"95","10.1016/j.jas.2023.105769","p < 0.05, ","inequ",0.025
"96","10.1016/j.jas.2023.105769","p = 0.05) ","exact",0.05
"97","10.1016/j.jas.2023.105754","p < 0.05) ","inequ",0.025
"98","10.1016/j.jas.2023.105754","p = 0.02).","exact",0.02
"99","10.1016/j.jas.2023.105754","p = 0.04).","exact",0.04
"100","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"101","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"102","10.1016/j.jas.2023.105752","p = 0.005)","exact",0.005
"103","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"104","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"105","10.1016/j.jas.2023.105752","p = 0.005)","exact",0.005
"106","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"107","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"108","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"109","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"110","10.1016/j.jas.2023.105752","p = 0.117)","exact",0.117
"111","10.1016/j.jas.2023.105752","p = 0.14).","exact",0.14
"112","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"113","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"114","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"115","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"116","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"117","10.1016/j.jas.2023.105752","p = 0.0006","exact",6e-04
"118","10.1016/j.jas.2023.105752","p = 0.0002","exact",2e-04
"119","10.1016/j.jas.2023.105752","p = 0.0029","exact",0.0029
"120","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"121","10.1016/j.jas.2023.105752","p = 0.005)","exact",0.005
"122","10.1016/j.jas.2023.105752","p = 0.0005","exact",5e-04
"123","10.1016/j.jas.2023.105752","p = 0.002)","exact",0.002
"124","10.1016/j.jas.2023.105752","p = 0.038)","exact",0.038
"125","10.1016/j.jas.2023.105752","p = 0.224 ","exact",0.224
"126","10.1016/j.jas.2023.105752","p = 0.926,","exact",0.926
"127","10.1016/j.jas.2023.105752","p = 0.038 ","exact",0.038
"128","10.1016/j.jas.2023.105752","p = 0.017,","exact",0.017
"129","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"130","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"131","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"132","10.1016/j.jas.2023.105752","p = 0.0006","exact",6e-04
"133","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"134","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"135","10.1016/j.jas.2023.105752","p = 0.002)","exact",0.002
"136","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"137","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"138","10.1016/j.jas.2023.105752","p = 0.005)","exact",0.005
"139","10.1016/j.jas.2023.105752","p < 0000.1","inequ",0.1
"140","10.1016/j.jas.2023.105752","p = 0.002)","exact",0.002
"141","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"142","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"143","10.1016/j.jas.2023.105752","p = 0.0006","exact",6e-04
"144","10.1016/j.jas.2023.105755","p < 0.05) ","inequ",0.025
"145","10.1016/j.jas.2023.105755","p = 0.225)","exact",0.225
"146","10.1016/j.jas.2023.105755","p = 0.11; ","exact",0.11
"147","10.1016/j.jas.2023.105755","p < 0.001;","inequ",5e-04
"148","10.1016/j.jas.2023.105755","p < 0.001;","inequ",5e-04
"149","10.1016/j.jas.2023.105755","p < 0.001;","inequ",5e-04
"150","10.1016/j.jas.2023.105755","p < 0.001;","inequ",5e-04
"151","10.1016/j.jas.2023.105755","p < 0.001,","inequ",5e-04
"152","10.1016/j.jas.2023.105755","p = 0.002;","exact",0.002
"153","10.1016/j.jas.2023.105755","p < 0.001;","inequ",5e-04
"154","10.1016/j.jas.2023.105755","p < 0.001;","inequ",5e-04
"155","10.1016/j.jas.2023.105755","p < 0.001,","inequ",5e-04
"156","10.1016/j.jas.2023.105741","p = 0.6685","exact",0.6685
"157","10.1016/j.jas.2023.105741","p = 0.2847","exact",0.2847
"158","10.1016/j.jas.2023.105741","p = 0.0793","exact",0.0793
"159","10.1016/j.jas.2023.105741","p = 0.0080","exact",0.008
"160","10.1016/j.jas.2023.105741","p = 0.0661","exact",0.0661
"161","10.1016/j.jas.2023.105741","p = 0.0993","exact",0.0993
"162","10.1016/j.jas.2023.105741","p = 0.4339","exact",0.4339
"163","10.1016/j.jas.2023.105741","p = 0.1140","exact",0.114
"164","10.1016/j.jas.2023.105741","p = 0.2457","exact",0.2457
"165","10.1016/j.jas.2023.105741","p = 0.3450","exact",0.345
"166","10.1016/j.jas.2023.105741","p = 0.1541","exact",0.1541
"167","10.1016/j.jas.2023.105741","p = 0.7492","exact",0.7492
