"","doi","ps","reporting","p_value"
"1","10.1016/j.jasrep.2023.104156","p < 0.05. ","inequ",0.025
"2","10.1016/j.jasrep.2023.104216","p > 0.9, w","inequ",0.9
"3","10.1016/j.jasrep.2023.104216","p > 0.9 an","inequ",0.9
"4","10.1016/j.jasrep.2023.104196","p = 0.40; ","exact",0.4
"5","10.1016/j.jasrep.2023.104196","p = 0.42, ","exact",0.42
"6","10.1016/j.jasrep.2023.104196","p = 0.73; ","exact",0.73
"7","10.1016/j.jasrep.2023.104196","p = 0.80, ","exact",0.8
"8","10.1016/j.jasrep.2023.104195","p = 0.016)","exact",0.016
"9","10.1016/j.jasrep.2023.104195","p = 0.026)","exact",0.026
"10","10.1016/j.jasrep.2023.104084","p = scapul","exact",NA
"11","10.1016/j.jasrep.2023.104084","p = 0.56) ","exact",0.56
"12","10.1016/j.jasrep.2023.104084","p = 0.22) ","exact",0.22
"13","10.1016/j.jasrep.2023.104084","p = 0.003;","exact",0.003
"14","10.1016/j.jasrep.2023.104084","p = 0.008,","exact",0.008
"15","10.1016/j.jasrep.2023.104084","p = 0.55).","exact",0.55
"16","10.1016/j.jasrep.2023.104084","p < 0.01).","inequ",0.005
"17","10.1016/j.jasrep.2023.104175","p < 0.05 )","inequ",0.025
"18","10.1016/j.jasrep.2023.104175","p < 0.05 )","inequ",0.025
"19","10.1016/j.jasrep.2023.104164","p = 17,795","exact",17795
"20","10.1016/j.jasrep.2023.104164","p = 9,520,","exact",9520
"21","10.1016/j.jasrep.2023.104164","p = 2,847,","exact",2847
"22","10.1016/j.jasrep.2023.104164","p = 2,669,","exact",2669
"23","10.1016/j.jasrep.2023.104164","p = 1,957,","exact",1957
"24","10.1016/j.jasrep.2023.104164","p = 535, 3","exact",535
"25","10.1016/j.jasrep.2023.104164","p = 267, 2","exact",267
"26","10.1016/j.jasrep.2023.104164","p = 1,028)","exact",1028
"27","10.1016/j.jasrep.2023.104164","p = 2,203)","exact",2203
"28","10.1016/j.jasrep.2023.104164","p = 9,560,","exact",9560
"29","10.1016/j.jasrep.2023.104164","p = 7,314;","exact",7314
"30","10.1016/j.jasrep.2023.104164","p = 1,604)","exact",1604
"31","10.1016/j.jasrep.2023.104164","p = 112) a","exact",112
"32","10.1016/j.jasrep.2023.104164","p = 76). f","exact",76
"33","10.1016/j.jasrep.2023.104164","p = 43), a","exact",43
"34","10.1016/j.jasrep.2023.104164","p = 11) ar","exact",11
"35","10.1016/j.jasrep.2023.104164","p = 26). s","exact",26
"36","10.1016/j.jasrep.2023.104164","p = 3) and","exact",3
"37","10.1016/j.jasrep.2023.104164","p = 1). wo","exact",1
"38","10.1016/j.jasrep.2023.104164","p = 18). h","exact",18
"39","10.1016/j.jasrep.2023.104164","p = 23). t","exact",23
"40","10.1016/j.jasrep.2023.104164","p = 53) an","exact",53
"41","10.1016/j.jasrep.2023.104164","p = 20). b","exact",20
"42","10.1016/j.jasrep.2023.104187","p < 0.05) ","inequ",0.025
"43","10.1016/j.jasrep.2023.104187","p < 0.05) ","inequ",0.025
"44","10.1016/j.jasrep.2023.104187","p < 0.01) ","inequ",0.005
"45","10.1016/j.jasrep.2023.104187","p < 0.05) ","inequ",0.025
"46","10.1016/j.jasrep.2023.104166","p < 0.2 wt","inequ",0.2
"47","10.1016/j.jasrep.2023.104152","p = stone ","exact",1e-05
"48","10.1016/j.jasrep.2023.104162","p = 0.337)","exact",0.337
"49","10.1016/j.jasrep.2023.104162","p = 0.18) ","exact",0.18
"50","10.1016/j.jasrep.2023.104162","p = 0.389)","exact",0.389
"51","10.1016/j.jasrep.2023.104162","p = 0.396)","exact",0.396
"52","10.1016/j.jasrep.2023.104165","p = signif","exact",NA
"53","10.1016/j.jasrep.2023.104165","p = 0.03) ","exact",0.03
"54","10.1016/j.jasrep.2023.104149","p < 0.001)","inequ",5e-04
"55","10.1016/j.jasrep.2023.104149","p < 0.001)","inequ",5e-04
"56","10.1016/j.jasrep.2023.104123","p = 0.76 3","exact",0.76
"57","10.1016/j.jasrep.2023.104116","p = 3,115;","exact",3115
"58","10.1016/j.jasrep.2023.104116","p = 3,330;","exact",3330
"59","10.1016/j.jasrep.2023.104116","p = 2,401;","exact",2401
"60","10.1016/j.jasrep.2023.104116","p = 1,995)","exact",1995
"61","10.1016/j.jasrep.2023.104184","p = < 0.00","inequ",0
"62","10.1016/j.jasrep.2023.104184","p = < 0.00","inequ",0
"63","10.1016/j.jasrep.2023.104184","p = < 0.00","inequ",0
"64","10.1016/j.jasrep.2023.104184","p = < 0.00","inequ",0
"65","10.1016/j.jasrep.2023.104184","p = 0.68) ","exact",0.68
"66","10.1016/j.jasrep.2023.104184","p = 0.44) ","exact",0.44
"67","10.1016/j.jasrep.2023.104107","p = 0.026)","exact",0.026
"68","10.1016/j.jasrep.2023.104065","p = 0.006 ","exact",0.006
"69","10.1016/j.jasrep.2023.104065","p = 0.043 ","exact",0.043
"70","10.1016/j.jasrep.2023.104065","p = 0.000 ","exact",0
"71","10.1016/j.jasrep.2023.104065","p = 0.000 ","exact",0
"72","10.1016/j.jasrep.2023.104065","p = 0.000 ","exact",0
"73","10.1016/j.jasrep.2023.104065","p = 0.011 ","exact",0.011
"74","10.1016/j.jasrep.2023.104065","p = 0.004 ","exact",0.004
"75","10.1016/j.jasrep.2023.104065","p = 0.000 ","exact",0
"76","10.1016/j.jasrep.2023.104065","p = 0.002 ","exact",0.002
"77","10.1016/j.jasrep.2023.104065","p = 0.000 ","exact",0
"78","10.1016/j.jasrep.2023.104065","p = 0.000 ","exact",0
"79","10.1016/j.jasrep.2023.104065","p = 0.000 ","exact",0
"80","10.1016/j.jasrep.2023.104065","p = 0.006 ","exact",0.006
"81","10.1016/j.jasrep.2023.104065","p = 0.000 ","exact",0
"82","10.1016/j.jasrep.2023.104065","p = 0.007 ","exact",0.007
"83","10.1016/j.jasrep.2023.104065","p = 0.004 ","exact",0.004
"84","10.1016/j.jasrep.2023.104065","p = 0.023 ","exact",0.023
"85","10.1016/j.jasrep.2023.104065","p = 0.000 ","exact",0
"86","10.1016/j.jasrep.2023.104065","p = 0.000 ","exact",0
"87","10.1016/j.jasrep.2023.104065","p = 0.001 ","exact",0.001
"88","10.1016/j.jasrep.2023.104049","p = 35) ar","exact",35
"89","10.1016/j.jasrep.2023.104049","p = 53) ar","exact",53
"90","10.1016/j.jasrep.2023.104049","p = 74) we","exact",1e-05
"91","10.1016/j.jasrep.2023.104068","p > 0.01 a","inequ",0.01
"92","10.1016/j.jasrep.2023.104068","p > 0.01, ","inequ",0.01
"93","10.1016/j.jasrep.2023.104068","p > 0.05),","inequ",0.05
"94","10.1016/j.jasrep.2023.104068","p > 0.05).","inequ",0.05
"95","10.1016/j.jasrep.2023.104068","p > 0.05).","inequ",0.05
"96","10.1016/j.jasrep.2023.104068","p > 0.05).","inequ",0.05
"97","10.1016/j.jasrep.2023.104068","p > 0.05).","inequ",0.05
"98","10.1016/j.jasrep.2023.104037","p = 0.97).","exact",0.97
"99","10.1016/j.jasrep.2023.104037","p = 0.64; ","exact",0.64
"100","10.1016/j.jasrep.2023.104059","p = 0.988 ","exact",0.988
"101","10.1016/j.jasrep.2023.104059","p= <0.001","inequ",5e-04
"102","10.1016/j.jasrep.2023.104059","p = 0.008)","exact",0.008
"103","10.1016/j.jasrep.2023.104059","p = 0.008)","exact",0.008
"104","10.1016/j.jasrep.2023.104060","p = number","exact",1e-05
"105","10.1016/j.jasrep.2023.104060","p = 5759; ","exact",5759
"106","10.1016/j.jasrep.2023.104060","p = 227; a","exact",227
"107","10.1016/j.jasrep.2023.104060","p = 664. t","exact",664
"108","10.1016/j.jasrep.2023.104060","p = 61.3%)","exact",61.3
"109","10.1016/j.jasrep.2023.104060","p = 17.9%)","exact",17.9
"110","10.1016/j.jasrep.2023.104060","p = 12.3%)","exact",12.3
"111","10.1016/j.jasrep.2023.104060","p = 14; mn","exact",14
"112","10.1016/j.jasrep.2023.104060","p = 4; mni","exact",4
"113","10.1016/j.jasrep.2023.104060","p = 66.4%)","exact",66.4
"114","10.1016/j.jasrep.2023.104060","p = 84; mn","exact",84
"115","10.1016/j.jasrep.2023.104060","p = 45; mn","exact",45
"116","10.1016/j.jasrep.2023.104060","p = 15.9%)","exact",15.9
"117","10.1016/j.jasrep.2023.104060","p = 13.8%)","exact",13.8
"118","10.1016/j.jasrep.2023.104060","p = 46%), ","exact",46
"119","10.1016/j.jasrep.2023.104060","p = 32%), ","exact",32
"120","10.1016/j.jasrep.2023.104060","p = 8; mni","exact",8
"121","10.1016/j.jasrep.2023.104060","p = 5; mni","exact",5
"122","10.1016/j.jasrep.2023.104060","p = 21). i","exact",21
"123","10.1016/j.jasrep.2023.104060","p = 41.1%)","exact",41.1
"124","10.1016/j.jasrep.2023.104060","p = 26.8%)","exact",26.8
"125","10.1016/j.jasrep.2023.104060","p = 26.3%)","exact",26.3
"126","10.1016/j.jasrep.2023.104014","p< 0.05” ","inequ",0.025
"127","10.1016/j.jasrep.2023.104014","p< 0.05”.","inequ",0.025
"128","10.1016/j.jasrep.2023.104052","p = 0.46δw","exact",0.46
"129","10.1016/j.jasrep.2023.104052","p = late p","exact",1e-05
"130","10.1016/j.jasrep.2023.104052","p = 0.46δw","exact",0.46
"131","10.1016/j.jasrep.2023.104052","p = 0.004)","exact",0.004
"132","10.1016/j.jasrep.2023.104052","p = 0.502)","exact",0.502
"133","10.1016/j.jasrep.2023.104052","p = 0.126)","exact",0.126
"134","10.1016/j.jasrep.2023.104032","p = 37). i","exact",37
"135","10.1016/j.jasrep.2023.104032","p = 0.6034","exact",0.6034
"136","10.1016/j.jasrep.2023.104015","p < 0.05; ","inequ",0.025
"137","10.1016/j.jasrep.2023.103988","p = 0.35),","exact",0.35
"138","10.1016/j.jasrep.2023.104023","p = 34, mn","exact",34
"139","10.1016/j.jasrep.2023.104023","p = 37). t","exact",37
"140","10.1016/j.jasrep.2023.104023","p = 473), ","exact",473
"141","10.1016/j.jasrep.2023.104023","p = 73): f","exact",73
"142","10.1016/j.jasrep.2023.104023","p = 36); a","exact",36
"143","10.1016/j.jasrep.2023.104023","p = 267). ","exact",267
"144","10.1016/j.jasrep.2023.104023","p = 64) re","exact",1e-05
"145","10.1016/j.jasrep.2023.104023","p = 6), fo","exact",6
"146","10.1016/j.jasrep.2023.104023","p = 5), wo","exact",5
"147","10.1016/j.jasrep.2023.104023","p = 3 each","exact",1e-05
"148","10.1016/j.jasrep.2023.104023","p = 2). di","exact",2
"149","10.1016/j.jasrep.2023.104023","p = 232, o","exact",232
"150","10.1016/j.jasrep.2023.104023","p = 92, or","exact",92
"151","10.1016/j.jasrep.2023.104023","p = 107, o","exact",107
"152","10.1016/j.jasrep.2023.104023","p = 17, or","exact",17
"153","10.1016/j.jasrep.2023.104023","p = 3; 1.1","exact",3
"154","10.1016/j.jasrep.2023.104023","p = 10; or","exact",10
